__empty___2,Artikel,Lagerplatz Regal,Bestand Regal,Produktionsversorgungsbereiche,KLT Größe,Losgröße,"Bestand PVB
Differenz Lager (Inventur)"
V_ORANGE_13,HAUBE EVO2 orange,101B-1-B,0.0,Supermarkt,KLT-4147,15.0,
V_BLACK_13,HAUBE EVO2 schwarz,101B-2-A,3.0,Supermarkt,KLT-4147,15.0,
V_WHITE_75,Grundplatte EVO 2 Spartan weiss,101C-4-A,,Supermarkt,KLT-4280,66.0,
V_BLUE_75,Grundplatte EVO 2 Spartan blau,101C-4-B,,Supermarkt,KLT-4280,66.0,
V_BLACK_75,Grundplatte EVO 2 Spartan schwarz,101C-4-C,,Supermarkt,KLT-4280,66.0,
V_WHITE_31,Fuß EVO2 Spartan weiss,101A-0-A,,Omron,KLT-3147,32.0,
V_YELLOW_31,Fuß EVO2 Spartan gelb,101A-0-B,,Omron,KLT-3147,32.0,
V_RED_31,Fuß EVO2 Spartan rot,101A-0-C,,Omron,KLT-3147,32.0,
V_GREEN_31,Fuß EVO2 Spartan grün,101A-0-D,,Omron,KLT-3147,32.0,
V_BLUE_31,Fuß EVO2 Spartan blau,101A-1-A,,Omron,KLT-3147,32.0,
V_BROWN_31,Fuß EVO2 Spartan braun,101A-1-B,,Omron,KLT-3147,32.0,
V_ORANGE_31,Fuß EVO2 Spartan orange,101A-1-C,,Omron,KLT-3147,32.0,
V_BLACK_31,Fuß EVO2 Spartan schwarz,101A-1-D,26.0,Omron,KLT-3147,32.0,21.0
V_L_WHITE_75,Grundplatte EVO 2 Lightweight weiss,101C-5-A,0.0,Supermarkt,KLT-4280,66.0,
V_L_BLUE_75,Grundplatte EVO 2 Lightweight blau,101C-5-B,0.0,Supermarkt,KLT-4280,66.0,
V_L_BLACK_75,Grundplatte EVO 2 Lightweight schwarz,101C-5-C,0.0,Supermarkt,KLT-4280,66.0,
V_L_WHITE_31,Fuß EVO2 Lightweight weiss,101A-2-A,4.0,Omron,KLT-3147,32.0,
V_L_YELLOW_31,Fuß EVO2 Lightweight gelb,101A-2-B,,Omron,KLT-3147,32.0,
V_L_RED_31,Fuß EVO2 Lightweight rot,101A-2-C,3.0,Omron,KLT-3147,32.0,1.0
V_L_GREEN_31,Fuß EVO2 Lightweight grün,101A-2-D,,Omron,KLT-3147,32.0,
V_L_BLUE_31,Fuß EVO2 Lightweight blau,101A-3-A,,Omron,KLT-3147,32.0,
V_L_BROWN_31,Fuß EVO2 Lightweight braun,101A-3-B,,Omron,KLT-3147,32.0,
V_L_ORANGE_31,Fuß EVO2 Lightweight orange,101A-3-C,,Omron,KLT-3147,32.0,
V_L_BLACK_31,Fuß EVO2 Lightweight schwarz,101A-3-D,36.0,Omron,KLT-3147,32.0,
V_B_WHITE_75,Grundplatte EVO 2 Balance weiss,101C-3-A,1.0,Supermarkt,KLT-4280,66.0,3.0
V_B_BLUE_75,Grundplatte EVO 2 Balance blau,101C-3-B,2.0,Supermarkt,KLT-4280,66.0,
V_B_BLACK_75,Grundplatte EVO 2 Balance schwarz,101C-3-C,0.0,Supermarkt,KLT-4280,66.0,
V_B_WHITE_31,Fuß EVO2 Balance weiss,101A-4-A,,Omron,KLT-3147,32.0,
V_B_YELLOW_31,Fuß EVO2 Balance gelb,101A-4-B,,Omron,KLT-3147,32.0,
V_B_RED_31,Fuß EVO2 Balance rot,101A-4-C,,Omron,KLT-3147,32.0,
V_B_GREEN_31,Fuß EVO2 Balance grün,101A-4-D,,Omron,KLT-3147,32.0,
V_B_BLUE_31,Fuß EVO2 Balance blau,101A-5-A,,Omron,KLT-3147,32.0,
V_B_BROWN_31,Fuß EVO2 Balance braun,101A-5-B,,Omron,KLT-3147,32.0,
V_B_ORANGE_31,Fuß EVO2 Balance orange,101A-5-C,28.0,Omron,KLT-3147,32.0,4.0
V_B_BLACK_31,Fuß EVO2 Balance schwarz,101A-5-D,25.0,Omron,KLT-3147,32.0,7.0
V_WHITE_7,Acryl Glasplatte - weiß,101D-2,,Lasercutter,Kein KLT,500.0,
V_BLUE_7,Acryl Glasplatte - blau,101D-3,,Lasercutter,Kein KLT,500.0,
V_BLACK_7,Acryl Glasplatte - schwarz,101D-4,,Lasercutter,Kein KLT,500.0,
67,Lötzinn,101D-4-C,,Lötplatz,KLT-3147,200.0,
V_WHITE_9,PLA Filament - Weiß,101C-2-B,,3D-Drucker,Kein KLT,1000.0,
V_YELLOW_9,PLA Filament - Gelb,101C-2-C,,3D-Drucker,Kein KLT,1000.0,
V_RED_9,PLA Filament - Rot,101C-1-A,,3D-Drucker,Kein KLT,1000.0,
V_GREEN_9,PLA Filament - Grün,101C-2-D,,3D-Drucker,Kein KLT,1000.0,
V_BLUE_9,PLA Filament - Blau,101C-1-B,,3D-Drucker,Kein KLT,1000.0,
V_BROWN_9,PLA Filament - Braun,101C-2-A,,3D-Drucker,Kein KLT,1000.0,
V_ORANGE_9,PLA Filament - Orange,101C-1-C,,3D-Drucker,Kein KLT,1000.0,
V_BLACK_9,PLA Filament - Schwarz,101C-1-D,,3D-Drucker,Kein KLT,1000.0,
,,,,Summe Plätze Supermarkt: 24,,,
